Date,RIC,Currency,Daily Total Return,Price Close,Volume
2017-12-13,USLM.OQ,USD,2.36693800876644,15.498933924,18964
2017-12-14,ASTE.OQ,USD,0.148781849,53.85,64145
2017-12-14,CARS.N,USD,0.366166239,27.41,298309
2017-12-14,DAKT.OQ,USD,-1.51187905,9.12,26022
2017-12-14,NAT.N,USD,0.754716981,2.67,661980
2017-12-14,USLM.OQ,USD,-4.39197455346219,14.81822469,26144
2017-12-15,ASTE.OQ,USD,1.559888579,54.69,137773
2017-12-15,CARS.N,USD,-0.547245531,27.26,1475995
2017-12-15,DAKT.OQ,USD,2.083333333,9.31,351425
2017-12-15,NAT.N,USD,1.498127341,2.71,1049013
2017-12-15,USLM.OQ,USD,1.48432501599487,15.038175306,53124
2017-12-18,ASTE.OQ,USD,2.377034193,55.99,50881
2017-12-18,CARS.N,USD,2.311078503,27.89,398624
2017-12-18,DAKT.OQ,USD,0.859291085,9.39,23052
2017-12-18,NAT.N,USD,-4.42804428,2.59,532057
2017-12-18,USLM.OQ,USD,-0.870003782625133,14.907342612,49479
2017-12-19,ASTE.OQ,USD,-1.143061261,55.35,40765
2017-12-19,CARS.N,USD,4.804589459,29.23,715350
2017-12-19,DAKT.OQ,USD,-1.277955272,9.27,38404
2017-12-19,NAT.N,USD,-1.544401544,2.55,578043
2017-12-19,USLM.OQ,USD,-1.22106334266091,14.725314516,34274
2017-12-20,ASTE.OQ,USD,-0.180668473,55.25,35496
2017-12-20,CARS.N,USD,1.778994184,29.75,319982
2017-12-20,DAKT.OQ,USD,0.970873786,9.36,29045
2017-12-20,NAT.N,USD,-2.745098039,2.48,690584
2017-12-20,USLM.OQ,USD,-4.71285088848828,14.0313324,25724
2017-12-21,ASTE.OQ,USD,3.004524887,56.91,48901
2017-12-21,CARS.N,USD,0.773109244,29.98,499498
2017-12-21,DAKT.OQ,USD,0.106837607,9.37,20792
2017-12-21,NAT.N,USD,2.419354839,2.54,547482
2017-12-21,USLM.OQ,USD,2.54054054054053,14.387804088,50909
2017-12-22,ASTE.OQ,USD,0.702864171,57.31,50811
2017-12-22,CARS.N,USD,-1.400933956,29.56,205572
2017-12-22,DAKT.OQ,USD,-1.067235859,9.27,25475
2017-12-22,NAT.N,USD,1.181102362,2.57,465536
2017-12-22,USLM.OQ,USD,2.39852398523985,14.73289902,42434
2017-12-26,ASTE.OQ,USD,-0.575815739,56.98,22447
2017-12-26,CARS.N,USD,-0.067658999,29.54,332314
2017-12-26,DAKT.OQ,USD,-1.402373247,9.14,60552
2017-12-26,NAT.N,USD,-2.723735409,2.5,246133
2017-12-26,USLM.OQ,USD,-0.630630630630643,14.639988846,28834
2017-12-27,ASTE.OQ,USD,0.473850474,57.25,21007
2017-12-27,CARS.N,USD,-1.320243737,29.15,526085
2017-12-27,DAKT.OQ,USD,0.437636761,9.18,41354
2017-12-27,NAT.N,USD,0.0,2.5,197544
2017-12-27,USLM.OQ,USD,0.893666623494381,14.77082154,33109
2017-12-28,ASTE.OQ,USD,1.11790393,57.89,45331
2017-12-28,CARS.N,USD,-1.132075472,28.82,162963
2017-12-28,DAKT.OQ,USD,0.108932462,9.19,31521
2017-12-28,NAT.N,USD,2.4,2.56,597954
2017-12-28,USLM.OQ,USD,0.937098844672651,14.909238738,3484
2017-12-29,ASTE.OQ,USD,1.053722577,58.5,56984
2017-12-29,CARS.N,USD,0.069396253,28.84,189097
2017-12-29,DAKT.OQ,USD,-0.652883569,9.13,46356
2017-12-29,NAT.N,USD,-3.90625,2.46,466774
2017-12-29,USLM.OQ,USD,-1.94582220526517,14.61913146,24309
2018-01-02,ASTE.OQ,USD,5.042735043,61.45,128685
2018-01-02,CARS.N,USD,0.520110957,28.99,204634
2018-01-02,DAKT.OQ,USD,0.657174151,9.19,50723
2018-01-02,NAT.N,USD,4.471544715,2.57,588072
2018-01-02,USLM.OQ,USD,0.648508430609599,14.71393776,25159
2018-01-03,ASTE.OQ,USD,0.341741253,61.66,58688
2018-01-03,CARS.N,USD,0.72438772,29.2,183680
2018-01-03,DAKT.OQ,USD,-0.326441785,9.16,33997
2018-01-03,NAT.N,USD,1.945525292,2.62,307744
2018-01-03,USLM.OQ,USD,2.70618556701032,15.11212422,10114
2018-01-04,ASTE.OQ,USD,2.870580603,63.43,96525
2018-01-04,CARS.N,USD,2.671232877,29.98,231440
2018-01-04,DAKT.OQ,USD,1.528384279,9.3,61271
2018-01-04,NAT.N,USD,-2.290076336,2.56,517124
2018-01-04,USLM.OQ,USD,0.878293601003768,15.24485304,49479
2018-01-05,ASTE.OQ,USD,-1.103578748,62.73,65974
2018-01-05,CARS.N,USD,4.002668446,31.18,285044
2018-01-05,DAKT.OQ,USD,2.043010753,9.49,35932
2018-01-05,NAT.N,USD,0.78125,2.58,391927
2018-01-05,USLM.OQ,USD,-0.099502487562206,15.229684032,22599
2018-01-08,ASTE.OQ,USD,-0.89271481,62.17,49068
2018-01-08,CARS.N,USD,2.533675433,31.97,679419
2018-01-08,DAKT.OQ,USD,0.210748156,9.51,30197
2018-01-08,NAT.N,USD,-0.387596899,2.57,613904
