Date,RIC,Close Price
2019-03-25,Price Close,3300.48
2019-03-26,Price Close,3319.53
2019-03-27,Price Close,3322.04
2019-03-28,Price Close,3320.29
2019-03-29,Price Close,3351.71
2019-04-01,Price Close,3385.38
2019-04-02,Price Close,3395.7
2019-04-03,Price Close,3435.56
2019-04-04,Price Close,3441.93
2019-04-05,Price Close,3447.47
2019-04-08,Price Close,3438.06
2019-04-09,Price Close,3417.22
2019-04-10,Price Close,3424.65
2019-04-11,Price Close,3435.34
2019-04-12,Price Close,3447.83
2019-04-15,Price Close,3450.46
2019-04-16,Price Close,3463.36
2019-04-17,Price Close,3477.73
2019-04-18,Price Close,3499.23
2019-04-23,Price Close,3503.85
2019-04-24,Price Close,3502.63
2019-04-25,Price Close,3491.92
2019-04-26,Price Close,3500.41
2019-04-29,Price Close,3501.94
2019-04-30,Price Close,3514.62
2019-05-01,Price Close,3514.62
2019-05-02,Price Close,3488.93
2019-05-03,Price Close,3502.48
2019-05-06,Price Close,3462.95
2019-05-07,Price Close,3401.16
2019-05-08,Price Close,3417.26
2019-05-09,Price Close,3350.71
2019-05-10,Price Close,3361.05
2019-05-13,Price Close,3320.78
2019-05-14,Price Close,3364.38
2019-05-15,Price Close,3385.78
2019-05-16,Price Close,3438.56
2019-05-17,Price Close,3425.64
2019-05-20,Price Close,3369.78
2019-05-21,Price Close,3386.51
2019-05-22,Price Close,3386.72
2019-05-23,Price Close,3327.2
2019-05-24,Price Close,3350.7
2019-05-27,Price Close,3364.04
2019-05-28,Price Close,3348.86
2019-05-29,Price Close,3297.81
2019-05-30,Price Close,3318.15
2019-05-31,Price Close,3280.43
2019-06-03,Price Close,3300.22
2019-06-04,Price Close,3333.49
2019-06-05,Price Close,3339.95
2019-06-06,Price Close,3338.41
2019-06-07,Price Close,3378.38
2019-06-10,Price Close,3386.45
2019-06-11,Price Close,3401.1
2019-06-12,Price Close,3386.63
2019-06-13,Price Close,3390.5
2019-06-14,Price Close,3379.19
2019-06-17,Price Close,3383.21
2019-06-18,Price Close,3452.89
2019-06-19,Price Close,3454.7
2019-06-20,Price Close,3468.08
2019-06-21,Price Close,3466.92
2019-06-24,Price Close,3455.57
2019-06-25,Price Close,3444.36
2019-06-26,Price Close,3442.95
2019-06-27,Price Close,3442.38
2019-06-28,Price Close,3473.69
2019-07-01,Price Close,3497.59
2019-07-02,Price Close,3507.98
2019-07-03,Price Close,3540.63
2019-07-04,Price Close,3544.15
2019-07-05,Price Close,3527.98
2019-07-08,Price Close,3523.76
2019-07-09,Price Close,3509.75
2019-07-10,Price Close,3501.52
2019-07-11,Price Close,3496.73
2019-07-12,Price Close,3497.63
2019-07-15,Price Close,3502.22
2019-07-16,Price Close,3521.36
2019-07-17,Price Close,3501.58
2019-07-18,Price Close,3482.83
2019-07-19,Price Close,3480.18
2019-07-22,Price Close,3489.92
2019-07-23,Price Close,3532.87
2019-07-24,Price Close,3532.9
2019-07-25,Price Close,3510.15
2019-07-26,Price Close,3524.47
2019-07-29,Price Close,3523.58
2019-07-30,Price Close,3462.85
2019-07-31,Price Close,3466.85
2019-08-01,Price Close,3490.03
2019-08-02,Price Close,3376.12
2019-08-05,Price Close,3310.93
2019-08-06,Price Close,3291.66
2019-08-07,Price Close,3309.99
2019-08-08,Price Close,3375.38
2019-08-09,Price Close,3333.74
2019-08-12,Price Close,3326.55
2019-08-13,Price Close,3357.16
2019-08-14,Price Close,3288.7
2019-08-15,Price Close,3282.78
2019-08-16,Price Close,3329.08
2019-08-19,Price Close,3369.19
2019-08-20,Price Close,3350.23
2019-08-21,Price Close,3394.89
2019-08-22,Price Close,3373.67
2019-08-23,Price Close,3334.25
2019-08-26,Price Close,3348.84
2019-08-27,Price Close,3370.47
2019-08-28,Price Close,3365.38
2019-08-29,Price Close,3411.33
2019-08-30,Price Close,3426.76
2019-09-02,Price Close,3432.54
2019-09-03,Price Close,3420.74
2019-09-04,Price Close,3450.83
2019-09-05,Price Close,3484.7
2019-09-06,Price Close,3495.19
2019-09-09,Price Close,3495.02
2019-09-10,Price Close,3498.99
2019-09-11,Price Close,3516.82
2019-09-12,Price Close,3538.86
2019-09-13,Price Close,3550.11
2019-09-16,Price Close,3518.45
2019-09-17,Price Close,3521.26
2019-09-18,Price Close,3528.04
2019-09-19,Price Close,3552.65
2019-09-20,Price Close,3571.39
2019-09-23,Price Close,3536.97
2019-09-24,Price Close,3532.05
2019-09-25,Price Close,3513.03
2019-09-26,Price Close,3532.18
2019-09-27,Price Close,3545.88
2019-09-30,Price Close,3569.45
2019-10-01,Price Close,3518.25
2019-10-02,Price Close,3413.31
2019-10-03,Price Close,3417.37
2019-10-04,Price Close,3446.71
2019-10-07,Price Close,3471.24
2019-10-08,Price Close,3432.76
2019-10-09,Price Close,3462.11
2019-10-10,Price Close,3493.96
2019-10-11,Price Close,3569.92
2019-10-14,Price Close,3556.26
2019-10-15,Price Close,3598.65
2019-10-16,Price Close,3599.25
2019-10-17,Price Close,3588.62
2019-10-18,Price Close,3579.41
2019-10-21,Price Close,3600.08
2019-10-22,Price Close,3604.82
2019-10-23,Price Close,3606.89
2019-10-24,Price Close,3621.37
2019-10-25,Price Close,3624.68
2019-10-28,Price Close,3625.69
2019-10-29,Price Close,3622.09
2019-10-30,Price Close,3620.29
2019-10-31,Price Close,3604.41
2019-11-01,Price Close,3623.74
2019-11-04,Price Close,3665.21
2019-11-05,Price Close,3676.52
2019-11-06,Price Close,3688.74
2019-11-07,Price Close,3706.68
2019-11-08,Price Close,3699.65
2019-11-11,Price Close,3696.82
2019-11-12,Price Close,3712.2
2019-11-13,Price Close,3699.5
2019-11-14,Price Close,3688.81
2019-11-15,Price Close,3711.61
2019-11-18,Price Close,3704.92
2019-11-19,Price Close,3696.56
2019-11-20,Price Close,3683.88
2019-11-21,Price Close,3679.66
2019-11-22,Price Close,3687.32
2019-11-25,Price Close,3707.68
2019-11-26,Price Close,3705.55
2019-11-27,Price Close,3712.85
2019-11-28,Price Close,3704.48
2019-11-29,Price Close,3703.58
2019-12-02,Price Close,3626.66
2019-12-03,Price Close,3610.99
2019-12-04,Price Close,3660.02
2019-12-05,Price Close,3648.13
2019-12-06,Price Close,3692.34
2019-12-09,Price Close,3672.18
2019-12-10,Price Close,3671.78
2019-12-11,Price Close,3687.45
2019-12-12,Price Close,3706.35
2019-12-13,Price Close,3731.07
2019-12-16,Price Close,3772.74
2019-12-17,Price Close,3745.28
2019-12-18,Price Close,3739.0
2019-12-19,Price Close,3739.17
2019-12-20,Price Close,3776.56
2019-12-23,Price Close,3776.66
2019-12-24,Price Close,3774.39
2019-12-27,Price Close,3782.27
2019-12-30,Price Close,3748.47
2019-12-31,Price Close,3745.15
2020-01-02,Price Close,3793.24
2020-01-03,Price Close,3773.37
2020-01-06,Price Close,3752.52
2020-01-07,Price Close,3759.25
2020-01-08,Price Close,3772.56
2020-01-09,Price Close,3795.88
2020-01-10,Price Close,3789.52
2020-01-13,Price Close,3779.68
2020-01-14,Price Close,3774.88
2020-01-15,Price Close,3768.96
2020-01-16,Price Close,3774.14
2020-01-17,Price Close,3808.26
2020-01-20,Price Close,3799.03
2020-01-21,Price Close,3789.12
2020-01-22,Price Close,3769.79
2020-01-23,Price Close,3736.85
2020-01-24,Price Close,3779.16
2020-01-27,Price Close,3677.84
2020-01-28,Price Close,3719.22
2020-01-29,Price Close,3736.36
2020-01-30,Price Close,3690.78
2020-01-31,Price Close,3640.91
2020-02-03,Price Close,3661.27
2020-02-04,Price Close,3732.28
2020-02-05,Price Close,3777.84
2020-02-06,Price Close,3805.52
2020-02-07,Price Close,3798.49
2020-02-10,Price Close,3793.18
2020-02-11,Price Close,3825.84
2020-02-12,Price Close,3854.43
2020-02-13,Price Close,3846.74
2020-02-14,Price Close,3840.97
2020-02-17,Price Close,3853.27
2020-02-18,Price Close,3836.54
2020-02-19,Price Close,3865.18
2020-02-20,Price Close,3822.98
2020-02-21,Price Close,3800.38
2020-02-24,Price Close,3647.98
2020-02-25,Price Close,3572.51
2020-02-26,Price Close,3577.68
2020-02-27,Price Close,3455.92
2020-02-28,Price Close,3329.49
2020-03-02,Price Close,3338.83
2020-03-03,Price Close,3371.97
2020-03-04,Price Close,3420.56
2020-03-05,Price Close,3363.58
2020-03-06,Price Close,3232.07
2020-03-09,Price Close,2959.07
2020-03-10,Price Close,2910.02
2020-03-11,Price Close,2905.56
2020-03-12,Price Close,2545.23
2020-03-13,Price Close,2586.02
2020-03-16,Price Close,2450.37
2020-03-17,Price Close,2530.5
2020-03-18,Price Close,2385.82
2020-03-19,Price Close,2454.08
2020-03-20,Price Close,2548.5
2020-03-23,Price Close,2485.54
2020-03-24,Price Close,2715.11
2020-03-25,Price Close,2800.14
2020-03-26,Price Close,2847.78
2020-03-27,Price Close,2728.65
2020-03-30,Price Close,2765.62
2020-03-31,Price Close,2786.9
2020-04-01,Price Close,2680.3
2020-04-02,Price Close,2688.49
2020-04-03,Price Close,2662.99
2020-04-06,Price Close,2795.97
2020-04-07,Price Close,2857.67
2020-04-08,Price Close,2851.27
2020-04-09,Price Close,2892.79
2020-04-14,Price Close,2917.74
2020-04-15,Price Close,2808.2
2020-04-16,Price Close,2812.35
2020-04-17,Price Close,2888.3
2020-04-20,Price Close,2909.5
2020-04-21,Price Close,2791.34
2020-04-22,Price Close,2834.9
2020-04-23,Price Close,2852.46
2020-04-24,Price Close,2809.07
2020-04-27,Price Close,2882.09
2020-04-28,Price Close,2932.06
