internal_code,currency,target_notional
CTGO.A,USD,289.49
CTKB.OQ,USD,0.0
CTLP.OQ,USD,0.0
CTO.N,USD,2333.26
CTOS.N,USD,752.23
CTRA.N,USD,1675.16
CTRE.N,USD,1907.62
CTRI.N,USD,406.37
CTRN.OQ,USD,506.88
CTS.N,USD,0.0
CTSH.OQ,USD,-1739.28
CTVA.N,USD,944.9
CUBE.N,USD,3108.74
CUBI.N,USD,-2631.84
CURB.N,USD,0.0
CURI.OQ,USD,-79.64
CURV.N,USD,-125.32
CUZ.N,USD,225.1
CV.OQ,USD,0.0
CVBF.OQ,USD,909.52
CVCO.OQ,USD,679.19
CVGW.OQ,USD,1164.29
CVI.N,USD,-1198.25
CVLG.N,USD,0.0
CVLT.OQ,USD,-1427.74
CVNA.N,USD,-1572.6
CVRX.OQ,USD,0.0
CVS.N,USD,3794.0
CVX.N,USD,1027.76
CW.N,USD,2284.45
CWAN.N,USD,1243.08
CWBC.OQ,USD,0.0
CWCO.OQ,USD,131.65
CWEN.N,USD,1256.54
CWENa.N,USD,1564.6
CWH.N,USD,-1722.05
CWK.N,USD,-1604.65
CWST.OQ,USD,630.06
CWT.N,USD,2086.47
CXDO.OQ,USD,0.0
CXM.N,USD,-2505.86
CXT.N,USD,-2111.98
CXW.N,USD,888.59
CYH.N,USD,0.0
CYRX.OQ,USD,0.0
CYTK.OQ,USD,2342.48
CZFS.OQ,USD,0.0
CZNC.OQ,USD,771.4
CZR.OQ,USD,-966.38
CZWI.OQ,USD,932.2
D.N,USD,1527.1
DAKT.OQ,USD,553.75
DAL.N,USD,-2803.62
DAN.N,USD,-897.56
DAR.N,USD,2200.42
DASH.OQ,USD,-2364.17
DAVE.OQ,USD,-1192.09
DAWN.OQ,USD,2135.73
DBD.N,USD,753.07
DBI.N,USD,0.0
DBRG.N,USD,-914.76
DBX.OQ,USD,-957.36
DC.A,USD,275.26
DCGO.OQ,USD,0.0
DCI.N,USD,1044.79
DCO.N,USD,1009.61
DCOM.OQ,USD,0.0
DCTH.OQ,USD,0.0
DD.N,USD,885.98
DDD.N,USD,0.0
DDOG.OQ,USD,-1359.83
DDS.N,USD,-2880.32
DE.N,USD,995.9
DEA.N,USD,0.0
DEC.N,USD,0.0
DECK.N,USD,-2513.94
DEI.N,USD,-3328.96
DELL.N,USD,-1924.67
DERM.OQ,USD,0.0
DFH.N,USD,119.4
DFIN.N,USD,-454.39
DFTX.OQ,USD,1777.36
DG.N,USD,2184.25
DGICA.OQ,USD,1455.75
DGII.OQ,USD,889.36
DGX.N,USD,2669.61
DH.OQ,USD,-257.29
DHC.OQ,USD,558.74
DHI.N,USD,518.87
DHIL.OQ,USD,0.0
DHR.N,USD,917.16
DHT.N,USD,2376.89
DIN.N,USD,0.0
DINO.N,USD,-386.0
DIOD.OQ,USD,-1584.54
DIS.N,USD,-2481.63
DJCO.OQ,USD,-1171.7
DJT.OQ,USD,-1248.79
DK.N,USD,2275.09
DKNG.OQ,USD,-988.7
DKS.N,USD,-3203.42
DLB.N,USD,-277.33
DLR.N,USD,1159.16
DLTR.OQ,USD,688.41
DLX.N,USD,0.0
DMAC.OQ,USD,0.0
DMRC.OQ,USD,-1239.73
DNA.N,USD,0.0
DNLI.OQ,USD,1931.56
DNOW.N,USD,-527.64
DNTH.OQ,USD,1913.95
DNUT.OQ,USD,-1409.07
DOC.N,USD,2932.87
DOCN.N,USD,-1157.59
DOCS.N,USD,-2631.6
DOCU.OQ,USD,-1652.08
DOLE.N,USD,1182.11
DOMO.OQ,USD,-823.09
DORM.OQ,USD,-2435.89
DOUG.N,USD,0.0
DOV.N,USD,1027.44
DOW.N,USD,-1187.04
DOX.OQ,USD,328.48
DPZ.OQ,USD,496.94
DRH.OQ,USD,891.28
DRI.N,USD,983.85
DRS.OQ,USD,2970.97
DRUG.OQ,USD,0.0
DRVN.OQ,USD,-458.19
DSGN.OQ,USD,0.0
DSGR.OQ,USD,0.0
DSP.OQ,USD,-1471.36
DT.N,USD,-1832.62
DTE.N,USD,3248.73
DTM.N,USD,3541.43
DUK.N,USD,3181.76
DUOL.OQ,USD,-1013.26
DV.N,USD,-2403.19
DVA.N,USD,-1006.57
DVN.N,USD,-23.18
DX.N,USD,2552.11
DXC.N,USD,-2996.01
DXCM.OQ,USD,181.76
DXPE.OQ,USD,788.4
DY.N,USD,1010.73
DYN.OQ,USD,-172.18
EA.OQ,USD,5531.84
EAT.N,USD,-2146.21
EB.N,USD,0.0
EBAY.OQ,USD,3685.02
EBC.OQ,USD,1276.27
EBF.N,USD,686.74
EBMT.OQ,USD,0.0
