index,Instrument,Company Common Name,Company Market Cap,TRBC Economic Sector Name,Book Value Per Share,Enterprise Value To EBITDA (Daily Time Series Ratio),Revenue,Net Income Incl Extra Before Distributions,Free Cash Flow,Dividend yield
40,VYX.N,NCR Voyix Corp,1314341493.27,Technology,8.3552176918,5.70460069495261,2826000000,958000000,-153000000.0,
41,Q.N,Qnity Electronics Inc,23394944137.86,Technology,50.822785759,19.1020757472466,4335000000,693000000,918000000.0,0.28650729698272
42,LEA.N,Lear Corp,7151340475.77,Consumer Cyclicals,97.0335820896,6.15804850518067,23259100000,436800000,,2.23398853992892
43,IRWD.OQ,Ironwood Pharmaceuticals Inc,732053911.5,Healthcare,-1.8941998831,8.07924954834899,351410000,880000,2749000.0,
44,NBIX.OQ,Neurocrine Biosciences Inc,12457113027.56,Healthcare,32.6944723618,16.4667162129613,2860500000,478600000,474700000.0,
45,SERV.OQ,Serve Robotics Inc,712003408.935,Technology,3.5920652678,,1812480,-39191050,-49133750.0,
46,VMC.N,Vulcan Materials Co,43292691023.25,Basic Materials,61.3650793651,20.5781955737155,7417700000,911900000,705000000.0,0.634823744849687
47,PSN.N,Parsons Corp,6707569984.22,Industrials,24.7315310593,13.5918555777068,6364245000,241139000,357380000.0,
48,SSD.N,Simpson Manufacturing Co Inc,8665403067.75,Consumer Cyclicals,48.6543458459,16.2563773332043,2332808000,345083000,,0.554997368546959
49,FNKO.OQ,Funko Inc,198853072.52,Consumer Cyclicals,4.4774321234,23.5871995606461,1049850000,-14718000,14739000.0,
0,KNTK.N,Kinetik Holdings Inc,6712242810.84,Energy,-50.2090952028,28.010913388239,1482929000,80014000,-103417000.0,7.7997111218103
1,POR.N,Portland General Electric Co,6074403408.0,Utilities,36.499721009,9.87445960869566,3480000000,313000000,-659000000.0,3.88888888888889
2,AU.N,Anglogold Ashanti PLC,55431033302.6,Basic Materials,15.411550591,12.55258101685,5793000000,1004000000,471000000.0,1.9850664724094
3,KODK.N,Eastman Kodak Co,739388000.0,Technology,10.734144819,26.7588181818182,1043000000,102000000,59000000.0,
4,DOCS.N,Doximity Inc,4621418129.16,Technology,5.7943652624,15.3251000794984,570399000,223185000,227360000.0,
5,VAL.N,Valaris Ltd,6643399658.96,Energy,31.0471567268,10.2802496494473,2362600000,373400000,36800000.0,
6,SIEB.OQ,Siebert Financial Corp,103088686.8,Financials,2.1047014243,-10.9583647235736,83901000,13286000,11145000.0,
7,RNA.OQ,Avidity Biosciences Inc,11275916333.64,Healthcare,12.7705095804,,10897000,-322302000,-326592000.0,
8,MDT.N,Medtronic PLC,127547593553.92,Healthcare,37.3553204729,14.8717926858837,33537000000,4663000000,2151000000.0,2.85455824706001
9,TBBK.OQ,Bancorp Inc,2572255413.39,Financials,15.0707387174,12.2948179742213,,228213000,,
10,TALK.OQ,Talkspace Inc,624523587.48,Healthcare,0.6950278526,153.622250642837,187593000,1148000,-3436000.0,
11,ALAB.OQ,Astera Labs Inc,22012139527.96,Technology,8.194521898,115.129311976956,852525000,219134000,188419000.0,
12,LFUS.OQ,Littelfuse Inc,8953401560.85,Technology,97.7569408067,18.5829188961615,2386294000,-71700000,-76635000.0,0.834376303712975
13,FMNB.OQ,Farmers National Banc Corp,506058779.52,Financials,12.9068902293,9.36152743426018,,54586000,,5.05952380952381
14,VLTO.N,Veralto Corp,22977436306.3,Industrials,12.509061619,17.1660147574855,5503000000,940000000,846000000.0,0.56191917008861
15,Z.OQ,Zillow Group Inc,10417064301.6,Real Estate,20.1876575869,40.1951877186441,2583000000,23000000,20000000.0,
16,SNOW.N,Snowflake Inc,62379638000.0,Technology,9.0167294346,,3626396000,-1285640000,-1182416000.0,
17,STEP.OQ,StepStone Group Inc,6763616843.28,Financials,2.5210660456,,1182965000,-179563000,-208267000.0,1.97322057787174
18,URBN.OQ,Urban Outfitters Inc,6293667939.02,Consumer Cyclicals,26.6658812032,8.14043622323562,5550666000,402462000,343078000.0,
19,LC.N,LendingClub Corp,1795665522.82,Financials,13.0921436214,44.9033561327408,998848000,135677000,58236000.0,
20,TPR.N,Tapestry Inc,31138997497.4,Consumer Cyclicals,3.9566420664,18.2829366852927,7010700000,183200000,-75900000.0,1.04031209362809
21,ASPN.N,Aspen Aerogels Inc,291744195.93,Basic Materials,7.9280847183,7.86475130044449,452699000,13375000,-50361000.0,
22,STNG.N,Scorpio Tankers Inc,3649794322.9,Energy,68.7155616464,7.13516337010086,938222000,344292000,442107000.0,2.55282938590271
23,RVLV.N,Revolve Group Inc,1789775931.06,Consumer Cyclicals,6.185077492,19.2077559480445,1129911000,49557000,45249000.0,
24,TCBI.OQ,Texas Capital Bancshares Inc,4568768482.54,Financials,79.5640149068,9.99382006742394,,330244000,335341000.0,
