Date,RIC,Price Target - Mean,Recommendation - Mean (1-5),Revenue - Mean
2022-04-12,BYG.L,1604.3125,,165341630
2022-04-12,EDP.LS,5.62474,,
2022-04-12,EXHO.PA,89.915,,20512203240
2022-04-12,GALP.LS,12.83889,,
2022-04-12,GFCP.PA,132.85333,,
2022-04-12,KYGa.I,126.875,,7678816000
2022-04-12,OREP.PA,,,35809980150
2022-04-12,PLUSP.L,1923.75,,628100000
2022-04-12,REP.MC,14.605,,
2022-04-12,RR.L,121.6,2.9,11928822000
2022-04-12,SASY.PA,109.11539,,41062093780
2022-04-12,SUBC.OL,,,4863670390
2022-04-12,TKAG.DE,13.14333,,36409669350
2022-04-12,ULVR.L,,,56189097410
2022-04-12,WISEa.L,815.375,,
2022-04-12,BYG.L,,,177756000
2022-04-12,RR.L,121.6,,
2022-04-12,BYG.L,,,165341630
2022-04-12,EXHO.PA,89.915,,
2022-04-12,KYGa.I,126.875,,
2022-04-12,RR.L,121.6,2.9,
2022-04-12,SASY.PA,,,41062093780
2022-04-13,ANTO.L,1628.74041,,6708759800
2022-04-13,EQNR.OL,306.40212,,124775162190
2022-04-13,EXHO.PA,,,20514012760
2022-04-13,GALP.LS,12.95,2.3913,21299604460
2022-04-13,GFCP.PA,,,627364620
2022-04-13,HLMA.L,2843.0,,1496618880
2022-04-13,INDUc.ST,311.5315,,
2022-04-13,INPST.AS,11.89091,,6755976900
2022-04-13,MBGn.DE,89.66667,,141085073740
2022-04-13,OREP.PA,,2.7,
2022-04-13,RAND.AS,63.46875,3.05263,26830294280
2022-04-13,REP.MC,14.70115,2.12903,61971789000
2022-04-13,SSE.L,,,8479857930
2022-04-13,GALP.LS,,2.3913,
2022-04-13,ANTO.L,1628.74041,,
2022-04-13,EQNR.OL,,,124775162190
2022-04-13,GALP.LS,12.95,2.3913,
2022-04-13,HLMA.L,,,1496618880
2022-04-13,MBGn.DE,89.66667,,
2022-04-13,REP.MC,,2.12903,
2022-04-14,EXHO.PA,,,20498400050
2022-04-14,INWT.MI,,1.95,
2022-04-14,VEND.OL,401.0,,
2022-04-14,ANTO.L,,,6707228800
2022-04-14,BYG.L,,2.73333,
2022-04-14,EXHO.PA,89.465,,20498400050
2022-04-14,GALP.LS,,,21271438310
2022-04-14,INWT.MI,,1.95,856671620
2022-04-14,OREP.PA,396.16,,
2022-04-14,SASY.PA,109.69231,,
2022-04-14,SUBC.OL,96.00019,,
2022-04-14,TKAG.DE,13.01667,,36442198770
2022-04-14,VEND.OL,401.0,,15482602500
2022-04-15,BAWG.VI,65.0625,,
2022-04-18,NG.L,,,15593495210
2022-04-18,SDR.L,,,2538630130
2022-04-19,RAND.AS,,,26835794280
2022-04-19,AAK.ST,,,42646597500
2022-04-19,AM.PA,,2.3,
2022-04-19,GALP.LS,12.97778,,
2022-04-19,INWT.MI,12.1625,,
2022-04-19,RAND.AS,63.34375,,26835794280
2022-04-19,SASY.PA,110.65385,,
2022-04-19,TKAG.DE,,,36415676770
2022-04-19,AAK.ST,212.66667,,42646597500
2022-04-19,AM.PA,160.6,2.3,5925653360
2022-04-19,DANSKE.CO,135.05263,,42875213390
2022-04-19,EQNR.OL,307.20212,,
2022-04-19,GALP.LS,12.97778,,21396053690
2022-04-19,INWT.MI,12.1625,,856405200
2022-04-19,MBGn.DE,,,141145091130
2022-04-19,OREP.PA,396.36,,35919400500
2022-04-19,RAND.AS,63.34375,3.0,26835794280
2022-04-19,REP.MC,14.73962,,62310074710
2022-04-19,SASY.PA,110.65385,,41120895630
2022-04-19,SUBC.OL,,,4861281500
2022-04-19,TKAG.DE,12.93667,,36415676770
2022-04-19,ULVR.L,,,56248240270
2022-04-19,VOWG_p.DE,,,265341935500
2022-04-20,AAK.ST,212.66667,,
2022-04-20,ANTO.L,1625.40708,,6707295470
2022-04-20,BKGH.L,,,2300011060
2022-04-20,DANSKE.CO,135.8,,42838546720
2022-04-20,GALP.LS,,,21400655690
2022-04-20,GBLB.BR,109.94286,1.625,8507250000
2022-04-20,ICAG.L,179.52069,,20004651960
2022-04-20,INWT.MI,,,856677750
2022-04-20,LHAG.DE,,,27861850790
2022-04-20,MBGn.DE,,,141145395480
2022-04-20,NG.L,1030.5389,2.4375,
2022-04-20,NSISb.CO,,,2186524250
2022-04-20,OREP.PA,397.28,,36177002730
2022-04-20,RAND.AS,,2.94737,
2022-04-20,SASY.PA,,,41130303040
2022-04-20,SDR.L,582.48803,,2530363470
2022-04-20,SSE.L,1855.8125,2.31579,8583334210
2022-04-20,TKAG.DE,12.93667,,
2022-04-20,WALLb.ST,69.5,3.14286,
2022-04-20,WISEa.L,790.375,,550641100
2022-04-20,GBLB.BR,109.94286,,
2022-04-20,ANTO.L,1625.40708,,
2022-04-20,DANSKE.CO,,,42838546720
2022-04-20,GBLB.BR,109.94286,1.625,
2022-04-20,ICAG.L,,,20004651960
2022-04-20,SDR.L,582.48803,,
2022-04-20,SSE.L,1855.8125,,
2022-04-20,WALLb.ST,,3.14286,
2022-04-21,EQNR.OL,309.60212,,
2022-04-21,INPST.AS,,2.18182,
2022-04-21,NG.L,1035.48798,2.5,
2022-04-21,OREP.PA,393.8,,
2022-04-21,SASY.PA,110.73077,,
2022-04-21,SSE.L,,2.25,
2022-04-21,TKAG.DE,,,36440912060
2022-04-21,VOWG_p.DE,237.26087,2.1,
2022-04-21,VOWG_p.DE,,2.1,
2022-04-21,AAK.ST,,,43014347500
2022-04-21,ANTO.L,,,6674695470
2022-04-21,BAWG.VI,,,1270580000
2022-04-21,DANSKE.CO,138.8,2.69565,
2022-04-21,EQNR.OL,309.60212,,124945513380
2022-04-21,ICAG.L,179.02069,,
2022-04-21,INPST.AS,11.22727,2.18182,6766776900
2022-04-21,KYGa.I,,,7682082670
2022-04-21,MBGn.DE,89.45833,,141093879000
2022-04-21,NG.L,1035.48798,2.5,15644195530
