Date,RIC,0
2018-10-22,Price Close,2755.88
2018-10-23,Price Close,2740.69
2018-10-24,Price Close,2656.1
2018-10-25,Price Close,2705.57
2018-10-26,Price Close,2658.69
2018-10-29,Price Close,2641.25
2018-10-30,Price Close,2682.63
2018-10-31,Price Close,2711.74
2018-11-01,Price Close,2740.37
2018-11-02,Price Close,2723.06
2018-11-05,Price Close,2738.31
2018-11-06,Price Close,2755.45
2018-11-07,Price Close,2813.89
2018-11-08,Price Close,2806.83
2018-11-09,Price Close,2781.01
2018-11-12,Price Close,2726.22
2018-11-13,Price Close,2722.18
2018-11-14,Price Close,2701.58
2018-11-15,Price Close,2730.2
2018-11-16,Price Close,2736.27
2018-11-19,Price Close,2690.73
2018-11-20,Price Close,2641.89
2018-11-21,Price Close,2649.93
2018-11-23,Price Close,2632.56
2018-11-26,Price Close,2673.45
2018-11-27,Price Close,2682.17
2018-11-28,Price Close,2743.79
2018-11-29,Price Close,2737.76
2018-11-30,Price Close,2760.17
2018-12-03,Price Close,2790.37
2018-12-04,Price Close,2700.06
2018-12-06,Price Close,2695.95
2018-12-07,Price Close,2633.08
2018-12-10,Price Close,2637.72
2018-12-11,Price Close,2636.78
2018-12-12,Price Close,2651.07
2018-12-13,Price Close,2650.54
2018-12-14,Price Close,2599.95
2018-12-17,Price Close,2545.94
2018-12-18,Price Close,2546.16
2018-12-19,Price Close,2506.96
2018-12-20,Price Close,2467.42
2018-12-21,Price Close,2416.62
2018-12-24,Price Close,2351.1
2018-12-26,Price Close,2467.7
2018-12-27,Price Close,2488.83
2018-12-28,Price Close,2485.74
2018-12-31,Price Close,2506.85
2019-01-02,Price Close,2510.03
2019-01-03,Price Close,2447.89
2019-01-04,Price Close,2531.94
2019-01-07,Price Close,2549.69
2019-01-08,Price Close,2574.41
2019-01-09,Price Close,2584.96
2019-01-10,Price Close,2596.64
2019-01-11,Price Close,2596.26
2019-01-14,Price Close,2582.61
2019-01-15,Price Close,2610.3
2019-01-16,Price Close,2616.1
2019-01-17,Price Close,2635.96
2019-01-18,Price Close,2670.71
2019-01-22,Price Close,2632.9
2019-01-23,Price Close,2638.7
2019-01-24,Price Close,2642.33
2019-01-25,Price Close,2664.76
2019-01-28,Price Close,2643.85
2019-01-29,Price Close,2640.0
2019-01-30,Price Close,2681.05
2019-01-31,Price Close,2704.1
2019-02-01,Price Close,2706.53
2019-02-04,Price Close,2724.87
2019-02-05,Price Close,2737.7
2019-02-06,Price Close,2731.61
2019-02-07,Price Close,2706.05
2019-02-08,Price Close,2707.88
2019-02-11,Price Close,2709.8
2019-02-12,Price Close,2744.73
2019-02-13,Price Close,2753.03
2019-02-14,Price Close,2745.73
2019-02-15,Price Close,2775.6
2019-02-19,Price Close,2779.76
2019-02-20,Price Close,2784.7
2019-02-21,Price Close,2774.88
2019-02-22,Price Close,2792.67
2019-02-25,Price Close,2796.11
2019-02-26,Price Close,2793.9
2019-02-27,Price Close,2792.38
2019-02-28,Price Close,2784.49
2019-03-01,Price Close,2803.69
2019-03-04,Price Close,2792.81
2019-03-05,Price Close,2789.65
2019-03-06,Price Close,2771.45
2019-03-07,Price Close,2748.93
2019-03-08,Price Close,2743.07
2019-03-11,Price Close,2783.3
2019-03-12,Price Close,2791.52
2019-03-13,Price Close,2810.92
2019-03-14,Price Close,2808.48
2019-03-15,Price Close,2822.48
