Date,RIC,Currency,Price to Earning
2026-03-31,BCP.LS,EUR,9.83916745506149
2026-03-31,BMEB.L,GBp,6.80450672374107
2026-03-31,BTRW.L,GBp,17.7970737043621
2026-03-31,CAST.ST,SEK,17.6404142944888
2026-03-31,CRDA.L,GBp,63.4380493081535
2026-03-31,CTEC.L,GBp,33.1625622520105
2026-03-31,DLG.MI,EUR,13.8820075661109
2026-03-31,ERST.VI,EUR,11.2332669862177
2026-03-31,ESSITYb.ST,SEK,13.2223505082358
2026-03-31,EZJ.L,GBp,5.57545578668381
2026-03-31,FRAG.DE,EUR,15.8890932724037
2026-03-31,GBFG.DE,EUR,20.8482692745441
2026-03-31,GRLS.MC,EUR,15.2196448296372
2026-03-31,INCH.L,GBp,10.4310093044603
2026-03-31,JMAT.L,GBp,
2026-03-31,KSP.I,EUR,19.6212900521964
2026-03-31,LEGD.PA,EUR,28.3859454007009
2026-03-31,LIFCOb.ST,SEK,35.2390075054835
2026-03-31,METSO.HE,EUR,25.1875395157294
2026-03-31,MICCT.AS,EUR,26.6473782418182
2026-03-31,MKS.L,GBp,362.780748663102
2026-03-31,NEKG.DE,EUR,33.8586653201159
2026-03-31,PERP.PA,EUR,11.4525393714478
2026-03-31,QQ.L,GBp,
2026-03-31,RENA.PA,EUR,
2026-03-31,REY.MI,EUR,12.7906000573399
2026-03-31,SABE.MC,EUR,12.7359477671284
2026-03-31,SAND.ST,SEK,30.5341946243073
2026-03-31,SAVE.ST,SEK,25.8078273024813
2026-03-31,SIKA.S,CHF,19.9753345368767
2026-03-31,SKAb.ST,SEK,18.3454256269473
2026-03-31,SOPR.PA,EUR,7.8985397269494
2026-03-31,SPX.L,GBp,30.3438055450748
2026-03-31,SUN.S,CHF,19.2292190670674
2026-03-31,UNPI.MI,EUR,9.60110307457849
2026-03-31,VACN.S,CHF,67.722681359045
2026-03-31,VNAn.DE,EUR,5.0001507466598
2026-03-31,WIHL.ST,SEK,11.8628132168696
2026-03-31,ZALG.DE,EUR,25.5032390975204
2026-04-01,ABNd.AS,EUR,11.4679928360742
2026-04-01,ACLN.S,CHF,38.1351042572031
2026-04-01,AIRP.PA,EUR,29.5123090922506
2026-04-01,AKZO.AS,EUR,13.9875897926319
2026-04-01,ALEP.WA,PLN,16.4445818519091
2026-04-01,AMBUb.CO,DKK,33.7776690717867
2026-04-01,ANA.MC,EUR,15.5768523631903
2026-04-01,ANDR.VI,EUR,13.2976148210309
2026-04-01,ARGX.BR,EUR,38.2445140667514
2026-04-01,BARC.L,GBp,9.68995002250172
2026-04-01,BC8G.DE,EUR,16.414439869608
2026-04-01,BCP.LS,EUR,10.321665089877
2026-04-01,BMEB.L,GBp,7.00642086984614
2026-04-01,BTRW.L,GBp,17.9885136059073
2026-04-01,CAST.ST,SEK,59.0901689716209
2026-04-01,CRDA.L,GBp,65.1056925226484
2026-04-01,CTEC.L,GBp,34.0192424360864
2026-04-01,DLG.MI,EUR,14.5117450674421
2026-04-01,ERST.VI,EUR,11.5854450863261
2026-04-01,ESSITYb.ST,SEK,13.3421083144034
2026-04-01,EZJ.L,GBp,5.85495140952534
2026-04-01,FRAG.DE,EUR,16.5100955701122
2026-04-01,GBFG.DE,EUR,21.9332302265866
2026-04-01,GRLS.MC,EUR,15.7532500637267
2026-04-01,INCH.L,GBp,10.8760657014506
2026-04-01,JMAT.L,GBp,
2026-04-01,KSP.I,EUR,20.0567139645892
2026-04-01,LEGD.PA,EUR,29.8192524387773
2026-04-01,LIFCOb.ST,SEK,35.8142361588732
2026-04-01,METSO.HE,EUR,26.1615488457135
2026-04-01,MICCT.AS,EUR,26.1651676206051
2026-04-01,MKS.L,GBp,373.79679144385
2026-04-01,NEKG.DE,EUR,33.7789353389853
2026-04-01,PERP.PA,EUR,11.3384063101316
2026-04-01,QQ.L,GBp,
