Date,RIC,Earnings Per Share - Mean
2019-02-21,HOCM.L,0.1075
2019-02-27,BFT.WA,42.82975
2019-02-28,PIRC.MI,0.59694
2019-03-08,PIRC.MI,0.59694
2019-03-08,HOCM.L,0.10083
2019-03-11,PIRC.MI,0.59069
2019-03-14,PIRC.MI,0.59006
2019-03-28,HOCM.L,0.103
2019-03-30,VATN.S,7.74
2019-03-31,PIRC.MI,0.59006
2019-04-02,HOCM.L,0.10467
2019-04-03,PIRC.MI,0.58819
2019-04-03,HOCM.L,0.103
2019-04-03,VATN.S,7.74
2019-04-10,PIRC.MI,0.59369
2019-04-10,HOCM.L,0.10133
2019-04-15,PIRC.MI,0.59244
2019-04-16,PIRC.MI,0.59619
2019-04-23,PIRC.MI,0.59556
2019-04-24,PIRC.MI,0.59431
2019-04-26,PIRC.MI,0.59787
2019-04-30,HOCM.L,0.103
2019-05-01,HOCM.L,0.0972
2019-05-02,PIRC.MI,0.59431
2019-05-03,PIRC.MI,0.59181
2019-05-03,VATN.S,7.6885
2019-05-09,BFT.WA,43.49633
2019-05-10,BFT.WA,43.5245
2019-05-15,PIRC.MI,0.59156
2019-05-16,PIRC.MI,0.58781
2019-05-17,PIRC.MI,0.58181
2019-05-20,BFT.WA,39.699
2019-06-03,PIRC.MI,0.58171
2019-06-06,PIRC.MI,0.58229
2019-06-07,BFT.WA,33.8095
2019-06-09,BFT.WA,33.8095
2019-06-13,PIRC.MI,0.57718
2019-06-13,VATN.S,7.6885
2019-06-17,BFT.WA,27.92
2019-06-26,HOCM.L,0.0954
2019-06-28,PIRC.MI,0.57659
2019-07-01,PIRC.MI,0.58313
2019-07-04,HOCM.L,0.08783
2019-07-05,HOCM.L,0.09117
2019-07-08,PIRC.MI,0.58119
2019-07-09,PIRC.MI,0.57994
2019-07-11,PIRC.MI,0.57931
2019-07-11,BFT.WA,27.515
2019-07-16,PIRC.MI,0.57869
2019-07-17,PIRC.MI,0.57806
2019-07-17,HOCM.L,0.08671
2019-07-17,BFT.WA,27.515
2019-07-18,HOCM.L,0.09386
2019-07-19,PIRC.MI,0.56931
2019-07-19,HOCM.L,0.09371
2019-07-22,PIRC.MI,0.56806
2019-07-29,HOCM.L,0.098
2019-07-30,PIRC.MI,0.5666
2019-07-30,VATN.S,7.613
2019-08-01,PIRC.MI,0.5686
2019-08-02,PIRC.MI,0.56294
2019-08-02,HOCM.L,0.09371
2019-08-05,PIRC.MI,0.56181
2019-08-06,PIRC.MI,0.56038
2019-08-07,PIRC.MI,0.55788
2019-08-08,HOCM.L,0.09329
2019-08-11,VATN.S,7.613
2019-08-12,PIRC.MI,0.5564
2019-08-14,PIRC.MI,0.55114
2019-08-14,HOCM.L,0.09329
2019-08-15,HOCM.L,0.09557
2019-08-15,VATN.S,7.6495
2019-08-16,PIRC.MI,0.54707
2019-08-16,HOCM.L,0.09986
2019-08-19,PIRC.MI,0.55173
2019-08-23,PIRC.MI,0.5484
2019-08-23,HOCM.L,0.10113
2019-08-28,PIRC.MI,0.54769
2019-09-05,HOCM.L,0.10488
2019-09-11,HOCM.L,0.11238
2019-09-12,HOCM.L,0.11863
2019-09-13,PIRC.MI,0.54769
2019-09-16,PIRC.MI,0.54473
2019-09-19,BFT.WA,25.82333
2019-09-26,HOCM.L,0.11825
2019-09-29,HOCM.L,0.12657
2019-10-03,HOCM.L,0.12514
2019-10-07,PIRC.MI,0.5428
